family,family_label,sample_index,attempt,ph_size,mean,scv,skewness,kurtosis
hyper_erlang,Hyper Erlang,0,1,100,0.9999999999999999,11.532151026153816,7.927544900565575,89.9157614633751
hyper_erlang,Hyper Erlang,1,2,100,1.0,23.129540363541082,5.069242195069399,28.434310942264375
hyper_erlang,Hyper Erlang,2,3,100,0.9999999999999999,70.26482851760392,15.319302852090066,260.220020524481
hyper_erlang,Hyper Erlang,3,4,100,0.9999999999999996,5.326648752134583,12.901560390543436,218.19936050925693
hyper_erlang,Hyper Erlang,4,5,100,1.0000000000000004,4.223905760638776,2.1449620737018362,6.939508840314641
hyper_erlang,Hyper Erlang,5,6,100,0.9999999999999998,0.23162363584827805,-0.73153851300468,3.388957270455226
hyper_erlang,Hyper Erlang,6,7,100,1.0000000000000004,15.561640458435207,4.9230691719335935,26.881607121058984
hyper_erlang,Hyper Erlang,7,8,100,0.9999999999999998,11.627473728526963,5.6114885411305595,41.54132012477401
hyper_erlang,Hyper Erlang,8,9,100,0.9999999999999998,12.97431121661787,12.654512494203471,166.383066706542
hyper_erlang,Hyper Erlang,9,10,100,1.0,23.4740269311013,5.663931321609907,35.375249552255816
hyper_erlang,Hyper Erlang,10,11,100,1.0000000000000002,1.3737590787862917,0.6910538163992355,4.731592208434445
hyper_erlang,Hyper Erlang,11,12,100,1.0000000000000002,9.473157383608175,3.2495279130651853,13.037864578844067
hyper_erlang,Hyper Erlang,12,13,100,1.0,2.41944818279405,1.5593775282801765,4.7978535342257915
hyper_erlang,Hyper Erlang,13,14,100,0.9999999999999999,27.005813581133218,5.947480688242264,39.21233842045606
hyper_erlang,Hyper Erlang,14,15,100,1.0,17.616440437428977,9.436062872641607,111.9289989518494
hyper_erlang,Hyper Erlang,15,16,100,1.0000000000000002,33.80053059744735,6.534742385173804,44.67489872354398
hyper_erlang,Hyper Erlang,16,17,100,1.0,4.6158296272278525,3.22376185443556,18.611328327217056
hyper_erlang,Hyper Erlang,17,18,100,1.0,1.0966246898613123,3.035942128484633,95.01092700754047
hyper_erlang,Hyper Erlang,18,19,100,1.0000000000000002,2.1685054074931007,1.6778710143266133,5.733388013620354
hyper_erlang,Hyper Erlang,19,20,100,1.0000000000000002,2.603396554612582,1.410593859488475,4.072204667309412
hyper_erlang,Hyper Erlang,20,21,100,0.9999999999999999,3.871361953407261,2.505425171849656,9.974292647440986
hyper_erlang,Hyper Erlang,21,22,100,0.9999999999999999,0.584437643348033,-0.2057769795790089,1.5960513361277302
hyper_erlang,Hyper Erlang,22,23,100,0.9999999999999994,11.947330515616258,3.7293740287586625,16.844413571848087
hyper_erlang,Hyper Erlang,23,24,100,1.0,16.023207421782345,21.58143654235945,607.45788451177
hyper_erlang,Hyper Erlang,24,25,100,0.9999999999999999,3.285655310094455,12.014237503001844,223.35360714303485
hyper_erlang,Hyper Erlang,25,26,100,1.0000000000000004,0.04012698936701261,2.008501423734805,676.108088657147
hyper_erlang,Hyper Erlang,26,27,100,1.0000000000000002,1.5236417942367535,1.3605420750973642,4.076074949533642
hyper_erlang,Hyper Erlang,27,28,100,1.0,3.1936375956415457,3.170554377376855,18.04392035472907
hyper_erlang,Hyper Erlang,28,29,100,0.9999999999999999,3.674733151878444,6.569177543921429,142.18190596855334
hyper_erlang,Hyper Erlang,29,30,100,0.9999999999999999,6.749438316446832,7.410418261762828,73.29905015831862
hyper_erlang,Hyper Erlang,30,31,100,1.0000000000000004,4.756732413082831,7.902068140759192,84.72085719998282
hyper_erlang,Hyper Erlang,31,32,100,0.9999999999999997,11.311711727087301,5.587051292837287,38.28600592406414
hyper_erlang,Hyper Erlang,32,33,100,1.0000000000000002,26.662571932506502,7.387454005177936,64.62800216855416
hyper_erlang,Hyper Erlang,33,34,100,0.9999999999999996,36.636425034436364,15.705790281965376,411.4114495564145
hyper_erlang,Hyper Erlang,34,35,100,0.9999999999999998,1.0337309845591176,1.0076336428304467,4.931699221087663
hyper_erlang,Hyper Erlang,35,36,100,1.0,3.160130295741748,3.526255845474749,17.31842592186276
hyper_erlang,Hyper Erlang,36,37,100,1.0000000000000002,0.0720446823592524,0.5050199552456871,3.490832038883701
hyper_erlang,Hyper Erlang,37,38,100,1.0,8.455288411550388,4.7290545076125765,50.98763918662343
hyper_erlang,Hyper Erlang,38,39,100,0.9999999999999997,8.753785734203632,3.3894942154368484,14.365564308733013
hyper_erlang,Hyper Erlang,39,40,100,1.0,15.99934763833609,5.46230116408309,35.41886236848287
hyper_erlang,Hyper Erlang,40,41,100,1.0000000000000004,2.484176015363197,2.0768228434967604,6.131997985166195
hyper_erlang,Hyper Erlang,41,42,100,1.0000000000000004,18.30390347727396,5.6359706481677225,33.99503470442523
hyper_erlang,Hyper Erlang,42,43,100,0.9999999999999999,2.544364637917744,5.116443943230251,41.46727569397181
hyper_erlang,Hyper Erlang,43,44,100,0.9999999999999999,1.2647564063363563,0.9486386974653452,3.059299462958096
hyper_erlang,Hyper Erlang,44,45,100,0.9999999999999997,5.058282732044103,3.868705451854542,25.00527122455886
hyper_erlang,Hyper Erlang,45,46,100,1.0,5.725416388151014,3.277976188943598,263.8810146054564
hyper_erlang,Hyper Erlang,46,47,100,1.0,7.619689545901325,4.201454406679369,23.32216734754214
hyper_erlang,Hyper Erlang,47,48,100,0.9999999999999998,2.4000525689132535,0.9705932392382007,2.0860499468515075
hyper_erlang,Hyper Erlang,48,49,100,0.9999999999999998,1.2089100467270608,0.41157813078972083,1.494792116843809
hyper_erlang,Hyper Erlang,49,50,100,0.9999999999999997,22.064218809694353,11.262853070575897,144.31607762231758
hyper_erlang,Hyper Erlang,50,51,100,1.0000000000000002,15.292576092782326,4.006261435542446,18.309798295448676
hyper_erlang,Hyper Erlang,51,52,100,1.0,1.5438497302146623,0.7329603714215387,2.08726172106642
hyper_erlang,Hyper Erlang,52,53,100,0.9999999999999999,0.05766386492451471,-2.872068213213841,12.770112338465662
hyper_erlang,Hyper Erlang,53,54,100,1.0,6.707522501132525,5.739444405280553,48.144549186613425
hyper_erlang,Hyper Erlang,54,55,100,0.9999999999999996,3.9006937663732355,2.8311233452582707,12.475868253771207
hyper_erlang,Hyper Erlang,55,56,100,1.0000000000000002,2.3931709058086947,1.7860283925647857,6.55509580738872
hyper_erlang,Hyper Erlang,56,57,100,1.0,4.751379007838338,2.1737985398329127,7.071517088788332
hyper_erlang,Hyper Erlang,57,58,100,1.0000000000000002,3.1939169147625392,2.193818335588374,7.843877147960785
hyper_erlang,Hyper Erlang,58,59,100,1.0,65.34984000903945,11.87539634530986,153.97693675152144
hyper_erlang,Hyper Erlang,59,60,100,0.9999999999999998,1.6464332655784097,1.1603170799092026,2.8748932872900563
hyper_erlang,Hyper Erlang,60,61,100,1.0000000000000002,4.059443644047459,5.9266785492353895,52.32344155825391
hyper_erlang,Hyper Erlang,61,62,100,0.9999999999999999,11.20757192487426,5.620267487545835,43.06259616410642
hyper_erlang,Hyper Erlang,62,63,100,1.0000000000000002,32.99638787938449,14.485344996874728,216.72402992660642
